Opportunity Name,Research Initiative,Stage,Sub-Stage,Level 2 Government,Bridge Name,GPS (Latitude),GPS (Longitude),Level 1 Government,Level 3 Government,Level 4 Government,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code,Randomized Order
Rwanda - Muturagara-Gatobo - 1013025,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyabihu,Muturagara-Gatobo,-1.67321,29.57457,Western Province,Rurembo,Rwaza,4470,Suspended Bridge,96,10/27/23,12/22/23,006f100000d6yLHAAY,1013025,9
Rwanda - Kavumbu - 1013029,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyabihu,Kavumbu,-1.67069,29.46836,Western Province,Rambura,Mutaho,3981,Suspended Bridge,68,1/10/22,4/1/22,006f100000d6yLbAAI,1013029,1
Rwanda - Sovu - 1013225,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyamagabe,Sovu,-2.51053167,29.53582167,Southern Province,Kamegeri,Kamegeri-Nyamigina,3540,Suspended Bridge,43,8/9/21,11/8/21,006f100000d75zUAAQ,1013225,10
Rwanda - Cyabami (Kwa Anamariya) - 1013233,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Burera,Cyabami (Kwa Anamariya),-1.60834,29.8911,Northern Province,Nemba,Kadehero,2554,Suspended Bridge,56,5/24/22,9/8/22,006f100000d7608AAA,1013233,1
Rwanda - Kwa Rukeratabaro - 1013256,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Kwa Rukeratabaro,-1.83836538,29.68433685,Southern Province,Kibangu,Nyaruvumu village ( Mubuga cell ) - Nkondo village ( Gitega cell ),2764,Suspended Bridge,57,11/15/21,3/4/22,006f100000d761zAAA,1013256,9
Rwanda - Shyagari - 1013263,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Shyagari,-2.00393039,29.67555126,Southern Province,Mushishiro,Kabare village ( Munazi cell) - Nyanza village ( Rwigerero cell ),2609,Suspended Bridge,80,8/29/22,11/25/22,006f100000d762YAAQ,1013263,12
Rwanda - Mamashenge - 1013273,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyanza,Mamashenge,-2.30577,29.79548,Southern Province,Kigoma,Butara - Butansinda,2147,Suspended Bridge,58,10/30/23,12/22/23,006f100000d766yAAA,1013273,7
Rwanda - Bibumba - 1013275,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Nyanza,Bibumba,-2.2794,29.8712,Southern Province,Kigoma - Ntongwe,Murinja - Kareba,3152,Suspension Bridge,140,3/23/23,6/30/23,006f100000d7678AAA,1013275,5
Rwanda - Rusuzumiro - 1013349,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Rusuzumiro,-1.98365945,29.65245312,Southern Province,Mushishiro,Kabeza village ( Matyazo cell ) - Rugerero village ( Rukaragata cell ),4950,Suspended Bridge,65,4/10/23,7/3/23,006f100000d7EZHAA2,1013349,18
Rwanda - Hanika - 1013350,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Complete,In Service,Muhanga,Hanika,-1.97717889,29.67449787,Southern Province,Mushishiro - Rugendabari,Hanika village ( Rukaragata cell ) - Nyagasozi village ( Gasave cell ),4970,Suspended Bridge,98,9/19/22,11/24/22,006f100000d7EZMAA2,1013350,15
