Opportunity Name,Stage,Fiscal Year,Randomized Order,Research Initiative,Bridge Name,latitude,longitude,Level 1 Government,Level 2 Government,Level 3 Government,Level 4 Government,Sub-Stage,Individuals Directly Served,Bridge Type,Span (m),Ground Breaking Date,Close Date,CaseSafeID,Project Code
Rwanda - Kwa Rukeratabaro - 1013256,Complete,2022,9,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kwa Rukeratabaro,-1.838472,29.684286,Southern Province,Muhanga,Kibangu,Nyaruvumu  village ( Mubuga cell ) - Nkondo  village ( Gitega cell ),In Service,2764,Suspended Bridge,57,11/15/21,3/4/22,006f100000d761zAAA,1013256
Rwanda - Kwiterambere - 1013678,Complete,2021,4,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Kwiterambere,-1.66344,29.83439,Northern Province,Gakenke,Gashenyi,Taba/bushita,In Service,1530,Suspension Bridge,76,3/25/21,6/30/21,006f100000d7icgAAA,1013678
Rwanda - Mamashenge - 1013273,Prospecting,2023,7,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mamashenge,-2.304653,29.79009,Southern Province,Nyanza,Kigoma,Butara - Butansinda,,,Suspended Bridge,58,4/10/23,6/30/23,006f100000d766yAAA,1013273
Rwanda - Matyazo - 1013369,Rejected,2019,2,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Matyazo,-1.64694,29.47735,Western Province,Nyabihu,Karago,Busoro_Cyamabuye,Technical,4288,,,,12/31/18,006f100000d7GrPAAU,1013369
Rwanda - Mitabi - 1007647,Prospecting,2023,7,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mitabi,-1.74817,30.03081,Northern Province,Rulindo,Burega,Karengeri,,2832,Suspended Bridge,50,1/23/23,4/17/23,006f100000a86HzAAI,1007647
Rwanda - Mpanga - 1014265,Rejected,2019,1,Rwanda Full Scale Research - Randomized and Baselined - Long Term Control,Mpanga,-2.0638,30.0279,Kigali,Nyarugenge,Mageragere,Runzenze,Technical,12213,,,,12/31/18,006f100000eekXqAAI,1014265
Rwanda - Mpombori - 1014283,Prospecting,2023,5,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mpombori,-2.0851,29.80891,Southern Province,Kamonyi,Nyarubaka,Gitare/mugereke,,1486,Suspended Bridge,44,4/19/23,6/30/23,006f100000eekgRAAQ,1014283
Rwanda - Mucyabahinja - 1007426,Complete,2022,10,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mucyabahinja,-1.819809,29.6066111,Western Province,Ngororero,Hindiro-Kageyo,Karambo-Nyagasozi and  Kiribata- Giseke,In Service,3587,Suspended Bridge,86,11/15/21,3/4/22,006f100000a86EQAAY,1007426
Rwanda - Mucyuzi - 1014006,Rejected,2023,7,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mucyuzi,-1.69435,29.30102,Western Province,Rubavu,Nyundo,Terimbere/rambura,Vehicular Bridge Required,857,Suspension Bridge,42,6/29/22,9/24/22,006f100000d1e0iAAA,1014006
Rwanda - Muduha - 1007617,Complete,2023,5,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Muduha,-1.72441,30.0589,Northern Province,Rulindo,Burega-Buyoga,Rutangamundu-Gahororo,In Service,800,Suspension Bridge,52,7/11/22,10/28/22,006f100000a86HVAAY,1007617
Rwanda - Mugaseke - 1013721,Complete,2022,10,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mugaseke,-2.216836,29.283703,Western Province,Nyamasheke,Mahembe,Gisoke,In Service,2412,Suspended Bridge,65,11/15/21,2/15/22,006f100000d7jEuAAI,1013721
Rwanda - Mugonero - 1014056,Complete,2021,4,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mugonero,-2.14763,29.34468,Western Province,Karongi,Rwankuba sector,Kanyarusanga village ( Rubazo cell ) - Kigarama  village ( Bisesero cell ),In Service,540,Suspended Bridge,104,7/6/20,6/25/21,006f100000d1fPrAAI,1014056
Rwanda - Mugote - 1007477,Complete,2022,13,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Mugote,-2.4477333,29.41455333,Southern Province,Nyamagabe,Buruhukiro,Kizimyamuriro,In Service,1720,Suspended Bridge,60,8/9/21,11/9/21,006f100000a86FFAAY,1007477
Rwanda - Muhazi - 1014310,Rejected,2024,6,Rwanda Full Scale Research - Randomized and Baselined - Intervention,Muhazi,-1.873616,29.852021,Southern Province,Kamonyi,Kayenzi,Kirwa,Technical,25000,,,2/6/24,5/11/24,006f100000eeqqSAAQ,1014310
